ID,RATE
656,B
174,C
129,D
674,D
197,B
1213,C
715,C
1083,C
623,B
1225,C
1100,D
1262,B
1249,C
227,D
324,C
424,B
939,C
692,B
38,B
847,B
455,C
1229,D
1175,A
85,D
1106,B
294,C
1269,B
1055,B
767,C
125,A
1156,D
796,B
739,C
121,A
1210,B
788,B
899,B
501,B
1223,B
192,B
1276,C
1043,C
502,C
1221,C
763,B
941,B
634,D
229,B
1056,B
1015,B
631,B
525,C
873,D
838,B
719,B
569,B
1125,B
459,D
5,C
951,C
471,B
31,B
183,B
1121,C
178,B
1109,D
131,C
1107,D
96,B
924,B
1095,D
876,C
693,C
710,B
1171,C
574,C
338,C
686,C
224,D
1059,D
911,C
23,C
257,D
641,C
61,B
319,B
306,C
614,B
900,A
935,A
658,B
969,D
56,A
919,B
1054,D
376,C
550,C
39,B
1001,B
72,B
1078,D
888,B
737,D
859,D
1014,C
921,A
584,A
908,D
1199,B
1127,B
4,C
1272,C
393,D
680,C
1020,D
592,D
682,B
720,D
235,D
395,C
1143,A
581,B
115,B
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,A
305,B
727,C
709,B
903,A
914,A
597,B
576,B
251,B
1176,B
94,D
1129,B
59,B
554,A
392,B
854,B
195,B
1273,C
1110,B
165,D
36,B
684,B
824,B
866,C
391,D
923,A
1139,B
945,A
1058,D
639,C
1197,C
1013,C
861,D
1287,B
386,B
1165,C
1183,B
570,A
640,C
1010,B
867,C
375,C
222,D
79,C
1017,B
230,B
1115,B
1057,B
721,C
1084,D
734,B
940,C
850,B
1282,B
958,D
981,C
469,C
858,B
1007,B
889,C
481,D
700,B
659,B
389,D
1228,B
1222,B
342,D
992,B
996,C
337,C
704,B
1240,A
236,B
713,B
467,B
21,B
431,C
322,C
781,B
202,C
408,B
954,B
1239,B
87,B
80,B
795,B
1288,D
210,D
1025,A
146,B
203,B
591,B
661,B
256,B
538,D
589,C
30,C
808,D
246,B
166,C
1089,B
802,B
1216,B
315,D
147,D
470,C
607,D
460,A
219,C
196,B
1153,D
296,B
1220,B
504,B
51,C
872,B
770,B
427,C
743,A
678,D
974,B
568,B
516,B
494,C
430,D
49,B
526,B
534,B
1080,B
738,B
499,C
1259,B
255,A
1087,C
1002,C
45,B
339,B
792,D
2,B
356,B
1191,B
531,D
267,B
415,D
193,B
764,D
208,D
100,C
511,C
768,D
444,A
886,C
706,D
128,B
800,B
248,B
155,B
916,B
766,D
1076,C
988,D
976,B
67,B
822,B
718,B
310,C
558,B
1011,C
114,B
670,B
635,B
117,B
503,B
1193,B
771,C
468,A
1252,B
653,B
1164,D
691,D
1075,B
722,B
64,B
717,B
780,D
1136,A
487,A
1042,C
1278,B
757,D
1050,B
142,A
1186,D
187,A
171,C
24,D
1105,C
616,B
532,A
1215,D
759,C
778,C
912,D
703,D
979,C
1204,A
947,B
928,A
1101,B
225,A
1131,B
562,B
1122,C
638,C
1251,B
755,B
440,D
211,C
846,C
683,C
1292,B
334,C
93,A
564,C
1238,B
906,C
842,B
761,B
799,A
176,B
509,D
1174,B
105,B
359,C
458,B
752,C
1114,C
930,B
907,B
11,B
975,B
580,B
962,B
1090,D
1045,D
1267,A
143,B
632,B
990,C
480,B
212,A
220,D
1279,B
853,A
244,B
512,B
200,D
1039,D
232,A
1004,C
