ID,RATE
656,B
174,B
129,C
674,C
197,B
1213,D
715,D
1083,B
623,B
1225,A
1100,B
1262,C
1249,D
227,D
324,C
424,D
939,C
692,B
38,B
847,B
455,B
1229,D
1175,B
85,D
1106,B
294,B
1269,B
1055,B
767,B
125,D
1156,C
796,B
739,C
121,B
1210,B
788,B
899,D
501,B
1223,C
192,B
1276,B
1043,D
502,B
1221,A
763,B
941,B
634,D
229,B
1056,C
1015,C
631,D
525,B
873,B
838,B
719,B
569,D
1125,B
459,C
5,B
951,B
471,D
31,B
183,B
1121,B
178,B
1109,D
131,D
1107,D
96,B
924,C
1095,D
876,B
693,B
710,B
1171,D
574,D
338,D
686,D
224,C
1059,D
911,B
23,B
257,D
641,A
61,B
319,B
306,D
614,B
900,B
935,B
658,B
969,D
56,B
919,C
1054,D
376,D
550,D
39,B
1001,B
72,C
1078,D
888,A
737,D
859,C
1014,C
921,B
584,B
908,D
1199,B
1127,B
4,D
1272,B
393,D
680,D
1020,C
592,B
682,D
720,D
235,D
395,D
1143,B
581,B
115,C
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,A
305,B
727,B
709,B
903,B
914,B
597,B
576,B
251,D
1176,B
94,D
1129,C
59,B
554,B
392,B
854,B
195,B
1273,B
1110,D
165,D
36,B
684,C
824,B
866,D
391,D
923,A
1139,D
945,B
1058,D
639,D
1197,C
1013,D
861,C
1287,B
386,D
1165,B
1183,B
570,B
640,D
1010,D
867,C
375,A
222,A
79,A
1017,B
230,D
1115,B
1057,B
721,B
1084,D
734,B
940,B
850,C
1282,B
958,B
981,D
469,B
858,B
1007,B
889,C
481,D
700,C
659,B
389,D
1228,B
1222,C
342,B
992,D
996,B
337,D
704,D
1240,B
236,B
713,B
467,B
21,B
431,B
322,D
781,B
202,B
408,B
954,C
1239,B
87,C
80,B
795,D
1288,B
210,D
1025,B
146,C
203,B
591,B
661,B
256,B
538,D
589,D
30,B
808,B
246,B
166,B
1089,C
802,B
1216,B
315,D
147,D
470,B
607,D
460,B
219,B
196,B
1153,C
296,B
1220,D
504,B
51,B
872,B
770,B
427,D
743,B
678,C
974,B
568,B
516,B
494,B
430,D
49,B
526,B
534,C
1080,B
738,B
499,B
1259,D
255,B
1087,C
1002,B
45,B
339,C
792,D
2,C
356,B
1191,B
531,B
267,B
415,B
193,B
764,C
208,B
100,C
511,B
768,B
444,D
886,C
706,D
128,D
800,B
248,B
155,D
916,B
766,C
1076,B
988,B
976,D
67,D
822,C
718,B
310,C
558,B
1011,B
114,C
670,C
635,B
117,B
503,B
1193,B
771,D
468,C
1252,B
653,D
1164,D
691,D
1075,B
722,C
64,B
717,B
780,D
1136,A
487,A
1042,B
1278,B
757,D
1050,B
142,B
1186,B
187,B
171,D
24,D
1105,D
616,D
532,D
1215,C
759,B
778,D
912,D
703,B
979,B
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,B
1251,C
755,C
440,C
211,B
846,B
683,B
1292,C
334,B
93,D
564,B
1238,B
906,D
842,D
761,B
799,B
176,B
509,D
1174,B
105,C
359,B
458,B
752,C
1114,B
930,D
907,B
11,B
975,B
580,B
962,B
1090,D
1045,D
1267,B
143,D
632,B
990,C
480,B
212,B
220,C
1279,D
853,B
244,B
512,D
200,B
1039,D
232,B
1004,C
