ID,RATE
656,B
174,B
129,D
674,D
197,B
1213,D
715,D
1083,C
623,B
1225,D
1100,C
1262,C
1249,D
227,D
324,D
424,B
939,D
692,C
38,B
847,B
455,C
1229,D
1175,B
85,D
1106,B
294,D
1269,B
1055,B
767,B
125,B
1156,D
796,B
739,C
121,B
1210,B
788,B
899,B
501,B
1223,C
192,B
1276,C
1043,C
502,C
1221,C
763,B
941,C
634,C
229,B
1056,B
1015,C
631,B
525,B
873,D
838,B
719,B
569,B
1125,B
459,D
5,C
951,C
471,C
31,B
183,B
1121,C
178,C
1109,C
131,C
1107,C
96,B
924,B
1095,D
876,B
693,D
710,D
1171,C
574,D
338,B
686,C
224,D
1059,D
911,D
23,C
257,D
641,B
61,B
319,B
306,C
614,B
900,A
935,A
658,B
969,D
56,A
919,B
1054,D
376,C
550,C
39,B
1001,B
72,B
1078,D
888,B
737,D
859,C
1014,D
921,B
584,B
908,C
1199,C
1127,B
4,C
1272,B
393,D
680,D
1020,D
592,D
682,D
720,D
235,D
395,D
1143,B
581,B
115,B
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,B
305,B
727,C
709,B
903,A
914,B
597,B
576,B
251,B
1176,B
94,D
1129,D
59,B
554,B
392,B
854,B
195,B
1273,C
1110,B
165,D
36,C
684,B
824,C
866,D
391,C
923,A
1139,B
945,A
1058,C
639,B
1197,B
1013,C
861,D
1287,B
386,C
1165,C
1183,A
570,B
640,D
1010,C
867,C
375,B
222,D
79,B
1017,B
230,D
1115,C
1057,B
721,C
1084,D
734,B
940,C
850,B
1282,B
958,C
981,D
469,B
858,B
1007,B
889,B
481,D
700,A
659,B
389,D
1228,B
1222,B
342,D
992,C
996,C
337,C
704,B
1240,B
236,B
713,B
467,C
21,B
431,C
322,D
781,B
202,C
408,B
954,B
1239,B
87,B
80,B
795,B
1288,B
210,C
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,B
30,C
808,C
246,B
166,B
1089,C
802,B
1216,B
315,D
147,C
470,C
607,D
460,B
219,B
196,B
1153,D
296,B
1220,D
504,B
51,D
872,B
770,B
427,C
743,B
678,C
974,B
568,B
516,B
494,C
430,D
49,B
526,B
534,B
1080,B
738,B
499,D
1259,C
255,A
1087,C
1002,C
45,B
339,B
792,D
2,A
356,B
1191,B
531,D
267,B
415,C
193,B
764,D
208,D
100,C
511,C
768,C
444,A
886,C
706,D
128,B
800,A
248,B
155,B
916,B
766,D
1076,C
988,C
976,B
67,D
822,C
718,B
310,D
558,B
1011,B
114,B
670,C
635,B
117,B
503,B
1193,B
771,C
468,C
1252,B
653,B
1164,D
691,D
1075,B
722,D
64,B
717,B
780,D
1136,B
487,A
1042,C
1278,B
757,D
1050,B
142,B
1186,D
187,B
171,B
24,D
1105,C
616,C
532,B
1215,D
759,B
778,C
912,D
703,C
979,C
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,B
1122,C
638,C
1251,B
755,B
440,D
211,C
846,D
683,C
1292,C
334,C
93,B
564,C
1238,B
906,B
842,B
761,B
799,A
176,B
509,D
1174,B
105,B
359,B
458,B
752,B
1114,D
930,B
907,B
11,D
975,B
580,B
962,B
1090,B
1045,D
1267,B
143,B
632,B
990,D
480,B
212,B
220,D
1279,B
853,A
244,B
512,B
200,C
1039,D
232,B
1004,D
