ID,RATE
656,B
174,B
129,D
674,D
197,B
1213,D
715,D
1083,C
623,B
1225,D
1100,D
1262,D
1249,D
227,D
324,D
424,D
939,D
692,D
38,B
847,B
455,D
1229,D
1175,A
85,D
1106,C
294,D
1269,C
1055,B
767,C
125,C
1156,D
796,B
739,D
121,B
1210,B
788,B
899,C
501,B
1223,D
192,B
1276,C
1043,D
502,C
1221,C
763,C
941,C
634,D
229,C
1056,B
1015,C
631,C
525,C
873,D
838,C
719,C
569,B
1125,B
459,D
5,C
951,A
471,C
31,B
183,B
1121,C
178,C
1109,D
131,D
1107,D
96,C
924,B
1095,D
876,B
693,D
710,D
1171,D
574,D
338,D
686,B
224,D
1059,D
911,D
23,C
257,D
641,A
61,B
319,B
306,C
614,B
900,A
935,B
658,B
969,D
56,A
919,A
1054,D
376,C
550,A
39,B
1001,C
72,C
1078,D
888,A
737,D
859,D
1014,D
921,A
584,A
908,D
1199,C
1127,B
4,C
1272,B
393,D
680,D
1020,D
592,C
682,D
720,D
235,D
395,D
1143,A
581,B
115,C
513,B
1179,C
1040,B
1200,A
660,D
545,D
1137,A
305,B
727,C
709,B
903,A
914,B
597,B
576,B
251,A
1176,B
94,D
1129,C
59,A
554,A
392,C
854,B
195,B
1273,D
1110,B
165,D
36,D
684,C
824,C
866,D
391,D
923,A
1139,B
945,A
1058,C
639,C
1197,D
1013,D
861,D
1287,B
386,C
1165,D
1183,A
570,B
640,D
1010,C
867,C
375,A
222,D
79,C
1017,C
230,B
1115,C
1057,B
721,C
1084,D
734,C
940,B
850,C
1282,B
958,C
981,D
469,C
858,B
1007,A
889,C
481,D
700,A
659,B
389,D
1228,C
1222,B
342,D
992,C
996,D
337,D
704,C
1240,A
236,B
713,B
467,B
21,B
431,D
322,D
781,B
202,D
408,B
954,C
1239,B
87,D
80,B
795,A
1288,B
210,D
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,C
30,D
808,C
246,B
166,C
1089,D
802,C
1216,B
315,D
147,D
470,D
607,D
460,A
219,B
196,B
1153,D
296,A
1220,D
504,B
51,D
872,D
770,B
427,D
743,B
678,C
974,B
568,B
516,B
494,D
430,C
49,B
526,D
534,B
1080,B
738,B
499,D
1259,C
255,A
1087,C
1002,C
45,A
339,B
792,D
2,A
356,C
1191,B
531,D
267,B
415,D
193,B
764,D
208,C
100,C
511,D
768,C
444,A
886,C
706,D
128,B
800,C
248,B
155,B
916,B
766,D
1076,D
988,C
976,C
67,D
822,C
718,A
310,D
558,B
1011,B
114,B
670,D
635,A
117,B
503,B
1193,B
771,D
468,D
1252,C
653,C
1164,D
691,D
1075,B
722,D
64,C
717,C
780,D
1136,A
487,A
1042,C
1278,B
757,D
1050,B
142,A
1186,D
187,B
171,B
24,D
1105,C
616,D
532,A
1215,D
759,C
778,C
912,D
703,C
979,C
1204,A
947,A
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,D
1251,B
755,A
440,D
211,C
846,D
683,C
1292,D
334,C
93,A
564,C
1238,C
906,B
842,B
761,C
799,A
176,B
509,D
1174,C
105,C
359,B
458,B
752,C
1114,D
930,B
907,B
11,C
975,B
580,B
962,C
1090,C
1045,D
1267,B
143,C
632,D
990,D
480,B
212,A
220,C
1279,B
853,A
244,A
512,B
200,B
1039,D
232,A
1004,C
