ID,RATE
656,A
174,D
129,D
674,D
197,B
1213,D
715,D
1083,D
623,B
1225,A
1100,D
1262,D
1249,D
227,D
324,D
424,D
939,D
692,D
38,B
847,B
455,D
1229,D
1175,A
85,D
1106,D
294,D
1269,D
1055,C
767,D
125,D
1156,D
796,C
739,D
121,A
1210,A
788,C
899,D
501,C
1223,D
192,A
1276,C
1043,D
502,D
1221,A
763,C
941,A
634,D
229,D
1056,B
1015,C
631,D
525,C
873,D
838,D
719,D
569,C
1125,C
459,D
5,D
951,A
471,D
31,D
183,D
1121,C
178,D
1109,D
131,D
1107,D
96,C
924,B
1095,D
876,C
693,D
710,D
1171,D
574,D
338,D
686,C
224,A
1059,D
911,D
23,D
257,D
641,A
61,D
319,C
306,D
614,A
900,A
935,A
658,C
969,D
56,A
919,B
1054,D
376,D
550,D
39,C
1001,D
72,D
1078,D
888,A
737,A
859,D
1014,D
921,B
584,A
908,D
1199,D
1127,B
4,D
1272,A
393,A
680,D
1020,D
592,D
682,D
720,D
235,D
395,D
1143,A
581,B
115,C
513,A
1179,D
1040,A
1200,A
660,D
545,D
1137,A
305,C
727,D
709,B
903,A
914,B
597,B
576,B
251,C
1176,B
94,D
1129,D
59,B
554,A
392,D
854,B
195,B
1273,D
1110,B
165,D
36,D
684,D
824,D
866,A
391,D
923,A
1139,B
945,A
1058,D
639,D
1197,A
1013,D
861,D
1287,B
386,D
1165,D
1183,A
570,B
640,D
1010,D
867,D
375,A
222,D
79,C
1017,D
230,D
1115,D
1057,B
721,D
1084,D
734,D
940,C
850,C
1282,C
958,C
981,D
469,C
858,D
1007,A
889,C
481,D
700,A
659,D
389,D
1228,D
1222,A
342,D
992,D
996,D
337,D
704,D
1240,A
236,B
713,B
467,C
21,C
431,D
322,D
781,C
202,D
408,B
954,C
1239,B
87,D
80,C
795,A
1288,D
210,D
1025,B
146,C
203,A
591,C
661,D
256,C
538,D
589,D
30,D
808,D
246,C
166,D
1089,D
802,D
1216,C
315,D
147,D
470,D
607,D
460,B
219,C
196,C
1153,D
296,A
1220,D
504,C
51,D
872,D
770,C
427,D
743,B
678,D
974,D
568,D
516,C
494,D
430,D
49,C
526,D
534,A
1080,B
738,D
499,D
1259,D
255,A
1087,A
1002,C
45,A
339,C
792,D
2,A
356,C
1191,D
531,D
267,C
415,D
193,B
764,D
208,D
100,D
511,D
768,C
444,B
886,C
706,D
128,A
800,C
248,D
155,A
916,D
766,D
1076,D
988,D
976,D
67,D
822,A
718,A
310,A
558,B
1011,C
114,C
670,D
635,C
117,A
503,B
1193,D
771,D
468,C
1252,D
653,C
1164,D
691,D
1075,B
722,D
64,C
717,D
780,D
1136,A
487,B
1042,C
1278,C
757,D
1050,D
142,A
1186,D
187,A
171,D
24,D
1105,C
616,D
532,A
1215,D
759,C
778,D
912,D
703,D
979,C
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,C
1122,D
638,D
1251,C
755,A
440,A
211,D
846,D
683,D
1292,D
334,D
93,A
564,C
1238,B
906,B
842,B
761,B
799,B
176,C
509,D
1174,C
105,C
359,B
458,C
752,C
1114,D
930,A
907,D
11,D
975,A
580,C
962,C
1090,D
1045,D
1267,A
143,D
632,D
990,D
480,C
212,A
220,D
1279,B
853,A
244,A
512,B
200,D
1039,D
232,B
1004,A
